Authors [separate with ; last name first],Year,Title,Additional info (i.e. journal),Topics,Language/dialect,Methods,Data,Project,URL,English abstract for non-English or N/A papers,University,Peer-reviewed,Type,OtherLinks,Review
"Gürsel, Haluk",1988,An Expert System for Cuneiform Interpretation,Middle-East Technical University METU (Master's thesis but listed here due to its pioneering nature),Sign query; transliteration,Hittite,Prolog; Expert Systems,,,[asahala has received PDF from Gürsel],"""Interpretation of cuneiform texts is a field which has not yet had its share of computer technology. Even in countries where computers are applied to almost every type of work, cuneiform handling is still a manual process peculiar to a few specialists. A major reason for this is the fact that computers and cumeifom as an ancient script are two completely different notions; the difficulty of representing cuneiform symbols in a computer environment has been the second reason. This thesis is about the expert system developed to transfrom an available Hittite cuneiform text into readable form. The expert system, developed in Prolog, first lets user define known cuneiform symbols. Later, the symbols are converted to their readable equivalents. This conversion is a task based on some complicated rules which are expressed in Prolog. The need of relatively expensive special I/O devices are thus eliminated by using such an approach."" (Gürsel)",,yes,Research Paper,,
"Kataja, Laura; Koskenniemi, Kimmo",1988,Finite-state description of semitic morphology: a case study of Ancient Akkadian,COLING '88: Proceedings of the 12th conference on Computational linguistics: Volume 1 August 1988,Morphology; Lemmatization,Akkadian,Finite-state; TWOL,,,https://www.aclweb.org/anthology/C88-1064.pdf,,,yes,Research Paper,,
"Buccellati, Giorgio",1990,The Ebla Electronic Corpus: Graphemic Analysis,"Actes du Colloque International de l'Histoire et l'Archéologie de la Mohafazat d'Idlib = Les Annales Archéologiques Arabes Syriennes 40. K. Touer (eds.), pp. 8-26",Graphemic analysis,Eblaite,Statistical,,The Ebla Electronic Corpus Project,http://urkesh.org/EL2/Buccellati_1990_Ebla_Electronic_Corpus_-_LAAAS_40.pdf,,,yes,Research Paper,,
"Buccellati, Giorgio",1990,Cybernetica-Mesopotamica,MAARAV,Project description,Akkadian,,,,,,,yes,Research Paper,,
"Platt, J. H.; Pagan, J. M.",1990,Ortography and Onomastics: Computer Applications in Ebla Language Studies,"Actes du Colloque International de l'Histoire et l'Archéologie de la Mohafazat d'Idlib = Les Annales Archéologiques Arabes Syriennes 40. K. Touer (eds.), pp. 27-38",Onomasticon,Eblaite,,,The Ebla Electronic Corpus Project,,,,yes,Research Paper,,
"Sigrist, Marcel; Gomi, Tohru",1991,Comprehensive Catalog of Ur III Tablets,CDL Press,Categorization,Sumerian,Supervised searches,,,https://catalog.hathitrust.org/Record/002588755?type%5B%5D=author&lookfor%5B%5D=Sigrist%2C%20Marcel&bool%5B%5D=AND&type%5B%5D=title&lookfor%5B%5D=The%20comprehensive%20catalogue%20of%20published%20Ur%20III&ft=,,,yes,Research Paper,,
"Buccellati, Giorgio",1992,The Ebla Electronic Corpus: Onomastic Analysis,"Eblaitica, Vol. 3, Winona Lake: Eisenbrauns, pp. 107-128",Onomasticon,Eblaite,Statistical,,The Ebla Electronic Corpus Project,http://urkesh.org/EL2/Buccellati_1992_Ebla_Electronic_Corpus_-_Eblaitica_3.pdf,,,yes,Research Paper,,
"Demoli, Nazif; Dahms, Uwe; Gruber, Hartmut;  Wernicke, Günther",1994,Use of a Multifunctional Extended Optical Correlator for Cuneiform Inscription Analysis.,"SPIE 2297, pp. 278-287.",OCR,,Optical correlators; Feature extraction,,,,,,yes,Research Paper,,
"Demoli, Nazif; Dahms, Uwe; Haage, Bernd; Wernicke, Günther;  Gruber, Hartmut ",1995,Liquid Crystal Television Based Joint Transform Correlator for Cuneiform Inscription Recognition,"Fizika A, vol. 4, Issue 1, pp.581-590.",OCR,,Optoelectronic joint transform correlators; LCTV spatial light modulators,,,,,,yes,Research Paper,,
"Demoli, Nazif; Gruber, Hartmut; Dahms, Uwe;  Wernicke, Günthe",1995,Holographic Techniques Application in Analysing Cuneiform Inscriptions. ,"Journal of Modern Optics 42, 1995 Issue 1, pp. 191-195.",OCR,,Optoelectronic devices; holography,,,,,,yes,Research Paper,,
"Demoli, Nazif; Gruber, Hartmut; Dahms, Uwe;  Wernicke, Günther",1995,Optical Pattern Recognition in Cuneiform Inscription Analysis,"Proceedings Volume 2490, Optical Pattern Recognition VI. ",OCR,,Multifunctional extended optoelectronic correlators,,,,,,yes,Research Paper,,
"Gruber, Hartmut; Demoli, Nazif; Wernicke, Günther K.; Dahms Uwe",1995,Optical Pattern Recognition in the Analysis of Ancient Babylonian Cuneiform Inspection,"Proceedings Volume 2647, International Conference on Holography and Correlation Optics.",OCR,Middle Babylonian,Optical correlators; Feature extraction,,,,,,yes,Research Paper,,
"Demoli, Nazif; Dahms, Uwe; Gruber, Hartmut;  Wernicke, Günther K.",1996,Optimization steps in a cuneiform inscription characterization process,"Proceedings Volume 2969, Second International Conference on Optical Information Processing",OCR,,Optoelectronic devices; Holography,,,,,,yes,Research Paper,,
"Demoli, Nazif; Gruber, Hartmut; Dahms, Uwe;  Wernicke, Günther ",1996,Characterization of the Cuneiform Signs by the Use of a Multifunctional Optoelectronic Device,"Applied optics vol 35 no. 29, pp. 5811-5820.",OCR,,Multifunctional optoelectronic devices; Feature extraction,,,,,,yes,Research Paper,,
"Demoli, Nazif; Wernicke, Günther K.; Gruber, Hartmut;  Dahms, Uwe",1996,Methods and Techniques Optimized to Characterize Cuneiform Inscription Signs,"Proceedings Volume 2951, Holographic and Diffractive Techniques.",OCR,,Optical correlators; Feature extraction,,,,,,yes,Research Paper,,
"Wambacq, P.; Marien, D.",1996,Enhancement of the quality of photographs of tablets using digital processing,"in ISMAIL, F., SALLABERGER, W., TALON, Ph., VANLERBERGHE, K. and LEBEAU, M. (Eds.), Administrative Documents from Tell Beydar (Seasons 1993-1995)(= Subartu II), Turnhout, 195-198. ",Tablet digitization,,,,,,,,yes,Research Paper,,
"Dahms, Uwe; Haage, Bernd; Gruber, Hartmut; Wernicke, Guenther; Demoli, Nazif",1997,Characterization of a LCTV used as spatial light modulator in a joint transform correlator for cuneiform sign recognition,Optik 104.4 (1997): 145-152.,OCR,Middle Babylonian,Optoelectronic joint transform correlators; LCTV spatial light modulators,,,,,,yes,Research Paper,,
"Dirksen D., Kozlov Y.; von Bally G.",1997,Cuneiform Surface Reconstruction by Optical Profilometry,"Dirksen D., von Bally G. (eds) Optical Technologies in the Humanities. Series of the International Society on Optics Within Life Sciences, vol 4. Springer, Berlin, Heidelberg.",Tablet digitization,,Optical profilometry,,,,,,yes,Research Paper,,
"Roshop, Axel",1997,Digitale Mustererkennung an holographischen Bildern von Keilschrifttafeln.,"Physik. Herbert Utz Verlag, 1997. Phd Thesis.",Tablet digitization; Pattern recognition,,Holography,,,,,,yes,Research Paper,,
"Wernicke, Günther; Demoli, Nazif; Gruber, Hartmut;  Dahms, Uwe",1997,Cuneiform Recognition Experiments: Coherent Optical Methods and Results.,"In: Dirksen D., von Bally G. (eds) Optical Technologies in the Humanities. Series of the International Society on Optics Within Life Sciences, vol 4. Springer, Berlin, Heidelberg.",OCR,,Optical correlators; Feature extraction; Holography,,,,,,yes,Research Paper,,
"Barthelémy, François",1998,A Morphological Analyzer for Akkadian Verbal Forms with a Model of Phonetic Transformations.,In Computational Approaches on Semitic Languages.,Morphology,Old Babylonian,Prolog,,,https://www.aclweb.org/anthology/W98-1010.pdf,,,yes,Research Paper,,
"Feuerherm, K.",2000,The Computer Representation of Cuneiform: Towards the Development of a Character Code,Initiative for Cuneiform Encoding (ICE) Workshop ,Tablet digitization,,,,,http://xml.coverpages.org/feuerherm-RAIPres.pdf,,,?,Research Paper,,
"Demoli, Nazif; Wernicke, Günther K.; Krueger, Sven;  Gruber, Hartmut",2001,Holographic approach to conserving and analyzing the cuneiform inscription.,"Proceedings Volume 4402, Laser Techniques and Systems in Art Conservation.",OCR,,Optical correlators; Holography,,,,,,yes,Research Paper,,
"Malzbender, Thomas; Gelb, Dan; Wolters, Hans",2001,Polynomial Texture maps,"Computer Graphics, Proceedings of SIGGRAPH 2001, August 2001, pp. 313-320.",Tablet digitization,,PTM,,,https://www.researchgate.net/publication/220720751_Polynomial_texture_maps,,,yes,Research Paper,,
"Woolley, Sandra; Flowers, N. J.; Arvanitis, T. N.; Davis, T. R.; Ellison, J.",2001,"3D capture, Representation, and Manipulation of Cuneiform Tablets",SPIE pp. 103-110,Tablet digitization,,3D scanning,,CDFP,https://www.researchgate.net/publication/231184175_3D_capture_representation_and_manipulation_of_cuneiform_tablets,,,yes,Research Paper,,
"Al-Saif, K.",2002,Cuneiform Symbols Recognition.,"PhD Thesis, College of Computer and Mathematical Sciences, University of Mosul, Iraq.",OCR,,,,,,,,yes,Research Paper,,
"Anderson, Sean E.; Levoy, Mark",2002,Unwrapping and Visualizing Cuneiform Tablets.,"IEEE Computer Graphics and Applications. Volume 22, Issue 6, Nov/Dec 2002: pp. 82-88.",Tablet digitization,,3D scanning; Image processing,,,https://www.semanticscholar.org/paper/Unwrapping-and-Visualizing-Cuneiform-Tablets-Anderson-Levoy/339d6ca03015134b49903c520e8ec129d8a877b1,,,yes,Research Paper,,
"Dahl, J. L.",2002,Proto-Elamite Sign Frequencies,CDLI Bulletin 2002:1 (Updated 2002-04-29).,Data analysis,Proto-Elamite,Statistical,,,https://cdli.ucla.edu/files/publications/cdlb2002_001.pdf,,,yes,Research Paper,,
"Demoli, Nazif; Kamps, Jörn; Krüger, Sven; Gruber, Hartmut;  Wernicke, Günther K. ",2002,Recognition of cuneiform inscription signs by use of a hybrid-optoelectronic correlator device.,"APPLIED OPTICS  Vol. 41, No. 23.",OCR,Middle Babylonian,Optical correlators,,,,,,yes,Research Paper,,
"Edan, Naktal, M.",2002,Cuneiform Symbols Recognition Based on K-means and Neural Network.,"Journal of Computational Mathematics, vol. 10 no. 1. pp. 195-202.",OCR,Babylonian,Neural,,,https://www.researchgate.net/publication/339224687_Cuneiform_Symbols_Recognition_Based_on_K-Means_and_Neural_Network,,,yes,Research Paper,,
"Macks, Aaron",2002,Parsing Akkadian Verbs with Prolog.,SEMITIC '02 Proceedings of the ACL-02 workshop on Computational approaches to Semitic languages. pp 1–6,Morphology,Old Babylonian,Prolog,,,https://www.aclweb.org/anthology/W02-0501.pdf,,,yes,Research Paper,,
"Woolley, S. I.; Davis, T. R.; Flowers, N. J.; Dutoi, J.; Livingstone, A.; Arvanitis, T.N.",2002,Communicating Cuneiform: The Evolution of a Multimedia Cuneiform Database.,"The Journal of Visible Language 36, 3 (2002), 308–324.",Tablet digitization,,3D scanning; Databases,,CDFP,https://www.researchgate.net/publication/237478133_Communicating_Cuneiform_The_Evolution_of_a_Multimedia_Cuneiform_Database,,,yes,Research Paper,,
"Kumar, S.; Snyder, D.; Duncan, D.; Cohen, J.; Cooper, J.",2003,Digital preservation of  Ancient Cuneiform Tablets using 3D-Scanning,In International Conference on 3-D Digital Imaging and Modeling (Vol. 0–7695–199).,Tablet digitization,Cuneiform,3D scanning,,,http://www.cs.jhu.edu/~cohen/Publications/DigitalPreservation_3DDIM2003.pdf,,,yes,Research Paper,,
"Cohen, J.; Duncan, D.; Snyder, D.; Cooper, J.; Kumar, S.; Hahn, D.; Chen, Y.; Purnomo, B.; Graettinger, J.",2004,iClay : Digitizing Cuneiform,"CHRYSANTHOU, Y., CAINK., SILBERMAN, N. and NICCOLUCCI, F. (Eds.), The 5th International Symposium on Virtual Reality, Archaeology and Cultural Heritage (VAST 2004), Brussels, 135–143.",Tablet digitization,Cuneiform,3D scanning,,Digital Hammurabi; CDLI,https://www.cs.jhu.edu/~cohen/Publications/iClay.pdf,,,yes,Research Paper,,
"Karahashi, Fumi",2004,PPCS (Penn Parsed Corpus of Sumerian): A Brief Introduction to the Syntactic Annotation System of the PPCS,,Morphology; POS-tagging,Sumerian,,,,https://web.archive.org/web/20070708210654if_/http://psd.museum.upenn.edu/ppcs/ppcs-manual.pdf,,,no,Research Paper,,
"Hameeuw, H.; Willems, G.; Verbiest, F.; Moreau, W.; Van Lerberghe; K.; Van Gool, L.",2005,Easy and cost-effective cuneiform digitizing. ,"The 6th International Symposium on Virtual Reality, Archaeology and Cultural Heritage (VAST 2005) (pp. 73-80). Eurographics Association.",Tablet digitization,Cuneiform,,,,https://biblio.ugent.be/publication/8572126/file/8572127,,,yes,Research Paper,,
"Vandecasteele, C.: Van Gool, L.; Van Lerberghe, K.: Van Rompay, J.; Wambacq, P.",2005,Digitizing the Cuneiform Tablets from Beydar,"in BOWMAN, A. and M. BRADY(Eds.), Images and Artifacts of the Ancient World,London, 85-96",Tablet digitization,Cuneiform,,,,,,,yes,Research Paper,,
"Dahl, J. L.",2006,Proto-Elamite Sign List,CDLI Wiki: Proto-Elamite (Updated 2006-06-28),Resource,Proto-Elamite,,,,http://cdli.ox.ac.uk/wiki/proto-elamite,,,?,Research Paper,,
"Hahn, D.; Duncan, D.; Baldwin, K.; Cohen, J.; Purnomo, B.",2006,Digital Hammurabi : Design and Development of a 3D Scanner for Cuneiform Tablets,"CORNER, B.D., PENG, L. and TOCHERI, M. (Eds.), Three-Dimensional Image Capture and Applications VII, Proceedings of SPIE 6056, Bellingham, 130-141.",Tablet digitization,Cuneiform,3D scanning,,Digital Hammurabi; CDLI,https://pages.jh.edu/~dighamm/version2/research/2006_01_electronic_imaging_conference.pdf,,,yes,Research Paper,,
"Tablan, Valentin; Peters, Wim; Maynard, Diana; Cunningham, Hamish ",2006,Creating Tools for Morphological Analysis of Sumerian,In LREC (pp. 1762-1765).,Morphology,Sumerian,Finite-state,,,https://www.aclweb.org/anthology/L06-1029/,,,yes,Research Paper,,
"Yousif, Hilal; Rahma, Abdul Munim; Alani, Haithem",2006,Cuneiform Symbols Recognition Using Intensity Curves,"In proc. of The International Arab Journal of Information Technology, Vol 3, No 3, July 2006, pp. 237-241.",OCR,Cuneiform,Image processing,,,https://www.researchgate.net/publication/220413960_Cuneiform_Symbols_Recognition_Using_Intensity_Curves,,,yes,Research Paper,,
"Cunningham, Graham",2007,In the company of ni2 ?self? and ?fear(someness)?,Analysing Literary Sumerian: Corpus-based Approaches,,,,,,,,,yes,Research Paper,,
"Delnero, Paul",2007,"Pre-verbal /n/: function, distribution, and stability",Analysing Literary Sumerian: Corpus-based Approaches,,,,,,,,,yes,Research Paper,,
"Ebeling, Jarle",2007,Sumerian in a systemic-functional perspective: the case of multiword-verb combinations with and without ak ?to do?,Analysing Literary Sumerian: Corpus-based Approaches,,,,,,,,,yes,Research Paper,,
"Ebeling, Jarle; Cunningham, Graham",2007,Analysing Literary Sumerian: Corpus-based Approaches,Equinox publications ltd,Data analysis,Sumerian,Various,,,,,,yes,Research Paper,,
"Feldt, Laura",2007,On divine-referent bull metaphors in the ETCSL,Analysing Literary Sumerian: Corpus-based Approaches,,,,,,,,,yes,Research Paper,,
"Hahn, D.; Baldwin, K.; Duncan, D.",2007,Non-Laser-Based Scanner For Three-Dimensional Digitization of Historical Artifacts,"Applied Optics 46, No. 15, 20 May, 2838-2850.",Tablet digitization,Cuneiform,3D scanning,,,https://pdxscholar.library.pdx.edu/cgi/viewcontent.cgi?article=1132&context=ece_fac,,,yes,Research Paper,,
"Robson, Eleanor",2007,"Divine literacy, numeracy, and justice in the Sumerian literary corpus",Analysing Literary Sumerian: Corpus-based Approaches,,,,,,,,,yes,Research Paper,,
"Smith, Eric J.",2007,Phonological reconstruction of a dead language using the gradual learning algorithm,"In Proceedings of Ninth Meeting of the ACL Special Interest Group in Computational Morphology and Phonology,  pages 57–64, Prague, Czech Republic, June. Association for Computational Linguistics",Decipherment,Achaemenid Elamite,Gradual Learning Algorithm; Optimality theory,,,https://www.aclweb.org/anthology/W07-1308.pdf,,,yes,Research Paper,,
"Tanos, Bálint",2007,The polysemy and productivity of the formative element nam in Old Babylonian literary Sumerian,Analysing Literary Sumerian: Corpus-based Approaches,,,,,,,,,yes,Research Paper,,
"Taylor, Jon",2007,A quantitative analysis of the Sumerian proverb collections,Analysing Literary Sumerian: Corpus-based Approaches,,,,,,,,,yes,Research Paper,,
"Zemánek, P.",2007,A treebank of Ugaritic: Annotating fragmentary attested languages,Proceedings of the Sixth Workshop on Treebanks and Linguistic Theories (TLT2007) (pp. 213-218).,Treebanking,Ugaritic,,,,https://www.academia.edu/1945461/A_treebank_of_Ugaritic_Annotating_fragmentary_attested_languages,,,yes,Research Paper,,
"Zólyomi, Gábor",2007,Variation in the multiword construction igi ? bar in the Old Babylonian period,Analysing Literary Sumerian: Corpus-based Approaches,,,,,,,,,yes,Research Paper,,
"Di Ludovico, A.",2008,Experimental Approaches to Glyptic Art Using Artificial Neural Networks. An Investigation into the Ur III Iconological Context,"Proceedings of the 36th CAA Conference, Budapest, 2–6 April 2008",Iconography,,,,,https://proceedings.caaconference.org/files/2008/CD17_DiLudovico_CAA2008.pdf,,,yes,Research Paper,,
"Jaworski, W. ",2008,Contents Modelling of Neo-Sumerian Ur III Economic Text Corpus,"In Proceedings of the 22nd International Conference on Computational Linguistics—Volume 1, Manchester, UK, 18–22 August 2008; Association for Computational Linguistics: Stroudsburg, PA, USA, 2008; pp. 369–376.",Data analysis,Neo-Sumerian,Ontologies; Recursion-free grammars,,,https://www.mimuw.edu.pl/~wjaworski/papers/2008_COLING.pdf,,,yes,Research Paper,,
"Waerzeggers, Caroline",2008,A Social Network Analysis of Cuneiform Archives - A New Approach,"Documentary Sources in Ancient Near Eastern and Greco-Roman Economic History: Methodology and Practice, 207-233",SNA,,,,,,,,yes,Research Paper,,
"Di Ludovico, A.; Camiz, S.; Pieri, G.",2010,Comparative Use of Mathematical Models in an Investigationon Mesopotamian Cylinder Seals,"Proceedings of the 38th Annual Conference on Computer Applications and Quantitative Methods in Archaeology, CAA2010. F. Contreras, M. Farjas and F.J. Melero (eds.)",Text Mining,Neo-Sumerian,Neural,,,https://www.academia.edu/3739966/Comparative_Use_of_Mathematical_Models_in_an_Investigation_on_Mesopotamian_Cylinder_Seals,,,yes,Research Paper,,
"Kantel, J.;Damerow, P.; Kohler, S.; Tsouparopoulou, C.",2010,"3D-Scans von Keilschrifttafeln - ein Werkstattbericht,","26. DV-Treffen der Max-Planck-Institute. Ges. fur wiss. ̈Datenver., 2010.",Tablet digitization,Cuneiform,3D scanning,,,https://www.academia.edu/11937087/3D_Scans_von_Keilschrifttafeln_ein_Werkstattbericht,,,?,Research Paper,,
"Mara, Hubert; Krömker, Susanne; Jakob, Stefan; Breuckmann, Bernd",2010,GigaMesh and Gilgamesh - 3D Multiscale Integral Invariant Cuneiform Character Extraction,"Conference: VAST 2010: The 11th International Symposium on Virtual Reality, Archaeology and Intelligent Cultural HeritageAt: Paris, France",OCR,Cuneiform,3D modeling; MSII,,GigaMesh,https://www.researchgate.net/publication/220955304_GigaMesh_and_Gilgamesh_-_3D_Multiscale_Integral_Invariant_Cuneiform_Character_Extraction,,,yes,Research Paper,,
"Smith, Eric J.",2010,Query-Based Annotation and the Sumerian Verbal Prefixes,"PhD Thesis, Toronto",Morphology,Sumerian,Corpus Query Language (CQL),,,http://ftp.cs.toronto.edu/dist/gh/Smith-thesis-2010.pdf,,,yes,Research Paper,,
"Di Ludovico, A.; Pieri, G.",2011,Artificial Neural Networks and ancient artefacts: justifications for a multiform integrated approach using PST and Auto-CM models,"Archeologia e Calcolatori, 22. pp. 99-128. ISSN 1120-6861",Object analysis,,,,,http://eprints.bice.rm.cnr.it/4168/1/AC_22_DiLudovico_Pieri.pdf,,,yes,Research Paper,,
"Hameeuw, Hendrik; Willems, Geert",2011,New visualization techniques for cuneiform texts and sealings,"Akkadica, 132(2), 163-178",Survey (tablet digitization),Cuneiform,Various,,,https://biblio.ugent.be/publication/8572102/file/8572107,,,yes,Research Paper,,
"Majeed, Raed; Beiji, Zou; Hatem, Hiyam; Waleed, Jumana ",2011,Ancient Cuneiform Text Extraction Based on Automatic Wavelet Selection.,"International Journal of Multimedia and Ubiquitous Engineering Vol.10, No.6(2015), pp.253-264.",Tablet digitization,Sumerian,Fast Wavelet Transforms,,,https://www.researchgate.net/publication/279752462_Ancient_Cuneiform_Text_Extraction_Based_on_Automatic_Wavelet_Selection,,,yes,Research Paper,,
"Pawlowski, F.",2011,Interaktive Annotierung ausgezeichneter Reliefs von Keilschrift-Oberflächen als Basis einer Merkmalsextraktion,BA Thesis,Cuneiform analysis,,,,,,Interactive annotation of excellent reliefs on cuneiform surfaces as the basis for feature extraction,TU Dortmund,,Thesis,,
"Sahala, Aleksi",2011,Akkadin verbimorfologian jäsentäminen,BA Thesis,Morphology,,,,,http://www.ling.helsinki.fi/~asahala/parser.html (only software available),Parsing Akkadian verb morphology,Helsinki,,Thesis,,
"Sudholt, S.",2011,Support Vector Machine-basierte Klassifikation von Schriftzeichen in 3D-Scans archäologischer Fundstücke,BA Thesis,Cuneiform analysis,,,,,,Support Vector Machine-based classification of characters in 3D scans of archaeological finds,TU Dortmund,,Thesis,,
"Ahmed, Kawther, K.",2012,Online Sumarians Cuneiform Detection Based on Symbol Structural Vector Algorithm,"Journal of College of Education for Women, Mosul Iraq, vol 23 (2)",OCR,Sumerian,Structural vectors,,,https://www.iasj.net/iasj/download/d668b1571696e69f,,,yes,Research Paper,,
"Bamman, David; Anderson, Adam",2012,11-712 NLP Lab Report,White paper,Morphology; Lemmatization; POS-tagging,Old Assyrian,Finite-state; Foma,,Old Assyrian Text Project,https://github.com/dbamman/akkadian-morph-analyzer/blob/master/doc/latex/whitepaper.pdf,,,no,Github repo,,
"Lewis, Andrew; Ch'ng, Eugene",2012,A photogrammetric analysis of cuneiform tablets for the purpose of digital reconstruction,"International Journal of Heritage in the Digital Era, 1(1_suppl), 49-53.",Joins,,Statistical,,VISTA-CR,https://www.researchgate.net/publication/256292386_A_Photogrammetric_Analysis_of_Cuneiform_Tablets_for_the_Purpose_of_Digital_Reconstruction,,,yes,Research Paper,,
"Nurmikko, T.; Dahl, J.; Gibbins, N.; Earl, G.",2012,Citizen Sciene for cuneiform studies,"Citizen science for cuneiform studies. ACM Web Science 2012, United States. 6 pp .",Ontologies,,,,,,,,yes,Research Paper,,
"Nurmkko, Terhi",2012,Linking the Data of Ancient Sumer,"In the proceedings of the Computer Applications and Quantitative Methods in Archaeology, Southampton, 26 – 30 March, 2012.",Ontologies,,,,,,,,yes,Research Paper,,
"Ponti, Giovanni; Alderuccio, Daniela; Mencuccini, Giorgio; Rocchi, Alessio; Migliori, Silvio; Bracco, Giovanni; Negri Scafa, Paola",2012,Data Mining Tools and GRID Infrastructurefor Assyriology Text Analysis(an Old-Babylonian Situation StudiedThrough Text Analysisand Data Mining tools),58th Rencontre Assyriologique Internationale -Private and State,Text Mining,Old Babylonian,,,TIGRIS,https://www.afs.enea.it/project/eneagrid/papers_presentations/papers/paperRAI2012_v2.0_UNICODEfont.pdf,,,yes,Research Paper,,
"Schulz, R.",2012,Merkmalhistogramm-basierte Analyse dreidimensionaler Keilschrifttafeln,BA Thesis,Cuneiform analysis,,,,,,Feature histogram-based analysis of three-dimensional cuneiform tablets,TU Dortmund,,Thesis,,
"Stephen, Tyndall",2012,Toward Automatically Assembling Hittite-Language Cuneiform Tablet Fragments into Larger Texts.,ACL '12: Proceedings of the 50th Annual Meeting of the Association for Computational Linguistics: Short Papers - Volume 2July 2012 Pages 243–247,Joins (transliteration),Neo-Hittite,"Naive Bayes, Maximum Entropy",,,https://www.aclweb.org/anthology/P12-2048.pdf,,,yes,Research Paper,,
"Bamman, David; Anderson, Adam; Smith, Noah",2013,Inferring Social Rank in an Old Assyrian Trade Network,Digital Humanities 2013,SNA,Old Assyrian,"Bayesian LDA, MCEM",,Old Assyrian Text Project,https://arxiv.org/abs/1303.2873,,,yes,Research Paper,,
"Brumfield, Sara",2013,Imperial Methods: Using Text Mining and Social Network Analysis to Detect Regional Strategies in the Akkadian Empire,"PhD Thesis, UCLA","SNA, Text mining",Old Akkadian,,,,https://www.academia.edu/16741438/Imperial_Methods_Using_Text_Mining_and_Social_Network_Analysis_to_Detect_Regional_Strategies_in_the_Akkadian_Empire,,,yes,Research Paper,,
"Ch'ng, E.; Lewis, A.; Gehlken, R. E.; Woolley, S.",2013,A Theoretical Framework for Stigmergetic Reconstruction of Ancient Text. ,In Visual Heritage in the Digital Age - Springer Series on Cultural Computing (pp. 43–66).,Joins,,,,,,,,yes,Research Paper,,
"Fiori, M.",2013,Template-basierte Extraktion von dreidimensionalen Keilschriftstrukturen,BA Thesis,Cuneiform analysis,,,,,,Template-based extraction of three-dimensional cuneiform structures,TU Dortmund,,Thesis,,
