word,definition,derived_from
Abi-hasa I,,
Abi-haʾli I,,
Abi-ilaʾi I,,
Abi-ili I,,
Abi-ilu I,,
Abi-iti I,,
Abi-larim I,,
Abi-lihia I,,
Abi-lihiya I,,
Abi-lu-reʾi I,,
Abi-nuri I,,
Abi-qamu I,,
Abi-rahi I,,
Abi-rahimu I,,
Abi-ramu I,,
Abi-rixxx I,,
Abi-salam I,,
Abi-ul-idi I,,
Abi-umme I,,
Abi-xxx I,,
Abi-yadiʾ I,,
Abi-yaqa I,,
Abi-yaqar I,,
Abi-yaqiya I,,
Abi-yasubu I,,
Abile I,,
Abkar I,,
Abmunzerkiʾag I,,
Abmunzerkiʾaŋ I,,
Abnanu I,,
Abni I,,
AbnirBU I,,
Abu II,"(5th Bab. month) OAkk, Bab. [ITI.NE(.NE.GAR)]; OB isin Abi ""Abu festival"" also as MN",cf. ebūru I
Abu-duri I,,
Abu-eriba I,,
Abu-ilaʾi I,,
Abu-ina-ekalli-lilbur I,,
Abu-kenu I,,
Abu-lešir I,,
Abu-ul-idi I,,
Abu-uṣur I,,
Abu-xxx-šumi I,,
Abu-šamši I,,
Abu-ṭaba I,,
Abunu I,,
Abunumunmundudu I,,
Abzi I,,
Abzu I,,
Abša I,,
Abši-Ešu I,,
Ada I,,
Adab I,,
Adad I,,
Adad-abu-uṣur I,,
Adad-abuʾa I,,
Adad-ahhe-šallim I,,
Adad-ahu-iddina I,,
Adad-ahu-uṣur I,,
Adad-apal-iddina I,,
Adad-aplu-iddina I,,
Adad-bel I,,
Adad-belu-taqqin I,,
Adad-belu-uṣur I,,
Adad-bessunu I,,
Adad-dan I,,
Adad-ereš I,,
Adad-eriba I,,
Adad-gappi I,,
Adad-ibni I,,
Adad-ilaʾi I,,
Adad-iqbi I,,
Adad-iqiša I,,
Adad-iriba I,,
Adad-isseʾa I,,
Adad-kašir I,,
Adad-killanni I,,
Adad-mušammer I,,
Adad-mušeṣi I,,
Adad-nadin-ahi I,,
Adad-nadin-šumi I,,
Adad-naṣir I,,
Adad-nerari I,,
Adad-nuri I,,
Adad-rapa I,,
Adad-remanni I,,
Adad-reṣuwa I,,
Adad-riba-ahhe I,,
Adad-taklak I,,
Adad-uballiṭ I,,
Adad-šallim I,,
Adad-šarru-uṣur I,,
Adad-šezib I,,
Adad-šimanni I,,
Adad-šumu-iddina I,,
Adad-šumu-iškun I,,
Adad-šumu-uṣur I,,
Adad-ṭaba I,,
Adallal I,,
Adapa I,,
Adari I,,
Adaru I,"(12th Bab. month) [ITI.ŠE(.KIN.TAR)]; A. mahrû ""first A.""; arhu atru ša A. [ITI.DIRIG.ŠE(.KIN.TAR)] ""intercalary A."", NB also A. arkû",
Adda I,,
Adda-babaʾu I,,
Adda-hati I,,
Adda-iaba I,,
Adda-idri I,,
Adda-imme I,,
Adda-kabar I,,
Adda-ladin I,,
Adda-nagi I,,
Adda-natan I,,
Adda-pada I,,
Adda-rahimu I,,
Adda-ramu I,,
Adda-rapa I,,
Adda-saka I,,
Adda-sannani I,,
Adda-yaba I,,
Adda-yababa I,,
Adda-šumki I,,
Addaru Arku I,,
Addaru I,,
Addati I,,
Addi I,,
Addiqritušu I,,
Addu I,,
Adgi-hinna I,,
Adgi-hiʾil I,,
Adgigi I,,
Adi-ilu I,,
Adi-mati-Nabu I,,
Adi-mati-ilu I,,
Adia I,,
Adian I,,
Adinni I,,
Aduni-Baʾal I,,
Aduni-ihʾa I,,
Aduni-ṭubu I,,
Adunu I,,
Adunu-dala I,,
Adunu-izzi I,,
Adunu-milkuti I,,
Aduru I,,
Agdaš-ili I,,
Aggaru I,,
Aginsigeš I,,
Aginu I,,
Aginzamanuš I,,
Agru I,,
Ah-abi I,,
Ah-abu I,,
Ah-imme I,,
Ahassunu I,,
Ahat-abiša I,,
Ahat-imma I,,
Ahata I,,
Ahataya I,,
Ahati-ṭabat I,,
Ahbitu I,,
Ahhahu I,,
Ahhea I,,
Ahhešaya I,,
Ahhešu I,,
Ahhutun I,,
Ahi-Milki I,,
Ahi-Yau I,,
Ahi-bi-gayanu I,,
Ahi-gedi I,,
Ahi-idri I,,
Ahi-larim I,,
Ahi-leti I,,
Ahi-limmi I,,
Ahi-nadbi I,,
Ahi-pada I,,
Ahi-qamu I,,
Ahi-qumu I,,
Ahi-ramu I,,
Ahi-yababa I,,
Ahi-yaqar I,,
Ahi-ṭalli I,,
Ahi-ṭuri I,,
Ahiqar I,,
Ahiya I,,
Ahlamu I,,
Ahu I,,
Ahu-aya I,,
Ahu-bani I,,
Ahu-damqu I,,
Ahu-dur-enši I,,
Ahu-duri I,,
Ahu-ereš I,,
Ahu-eriba I,,
Ahu-iddina I,,
Ahu-ilaʾi I,,
Ahu-illika I,,
Ahu-ittabši I,,
Ahu-la-amašši I,,
Ahu-lamur I,,
Ahu-lešir I,,
Ahu-leʾi I,,
Ahu-leʾuti I,,
Ahu-lurši I,,
Ahu-nuri I,,
Ahu-uqur I,,
Ahu-šamši I,,
Ahu-ṭaba I,,
Ahu-ṭabu I,,
Ahuanu I,,
Ahubu I,,
Ahudanadih I,,
Ahulamma I,,
Ahuni I,,
Ahunu I,,
Ahusitu I,,
Ahutu-hidi I,,
Ahušina I,,
Ahuʾa I,,
Ahuʾa-amur I,,
Ahuʾa-eriba I,,
Ahšunu I,,
Ahʾutu I,,
Aia-ahhe I,,
Aia-šarru-ibni I,,
Aira I,,
Aissi I,,
Akakua I,,
Akbara I,,
Akbaru I,,
Akburu I,,
Akisu I,,
Akkad I,,
Akkadayu I,,
Akkadu I,,
Akkuddu I,,
Akkullanu I,,
Akpalu I,,
Aku-xxx I,,
Akus I,,
Akšak I,,
Al-Aššur I,,
Al-Aššur II,,
Al-hapi-mepi I,,
Al-radi-imari I,,
Al-tuklatuʾa I,,
Al-ša-rešani I,,
Al-šukkalli I,,
Alalgar I,,
Alalu I,,
Alammuš I,,
Alamu I,,
Alba I,,
Alexander I,,
Algariga I,,
Alha I,,
Alihu I,,
Alimdurah I,,
Alla I,,
Allamu I,,
Allatu I,,
Alli I,,
Alliyi I,,
Alluttu I,,
Allānātu I,"(an Ass. month name) O/MA, jB lex.",
Almanu I,,
Alu I,,
Alu-ašlaki I,,
Alu-ikkarati I,,
Alu-masenni I,,
Alu-nappahi I,,
Alu-pahhari I,,
Alu-ša-tamkari I,,
Alu-ṣarrapi I,,
Alulu I,,
Alzi I,,
Alzunu I,,
Ama I,,
AmaKAanisi I,,
Amadimmer I,,
Amadimmeriminbi I,,
Amagandu I,,
Amahtuku I,,
Amakani I,,
Amantu I,,
Amar-Suena I,,
Amar-ili I,,
Amaraheʾea I,,
Amarazu I,,
Amaršuba I,,
Amasagnudu I,,
Amat-Bel-uṣur I,,
Amat-Kurra I,,
Amat-Sula I,,
Amautuanki I,,
Amazilla I,,
Amašuhalbi I,,
Amaʾarhuš I,,
Amel-Ea I,,
Amel-Enlil I,,
Amel-Marduk I,,
Amel-Nabu I,,
Amel-Nanaya I,,
Ameluana I,,
Ameqi I,,
Amidu I,,
Amiru I,,
Amma I,,
Ammaškiri I,,
Ammegalana I,,
Ammeluana I,,
Ammi-Yateʾu I,,
Ammi-kenu I,,
Ammi-ladin I,,
Ammi-leti I,,
Ammi-ramu I,,
Ammi-raʾi I,,
Ammi-suri I,,
Ammi-yababa I,,
Ammi-yataʾ I,,
Ammini-ili I,,
Amna I,,
Ampihabi I,,
Amqarrunaya I,,
Amra I,,
Amru-Issar I,,
Amsi I,,
Amu-rṭeše I,,
Amur-ilu I,,
Amurri I,,
Amurru I,,
Amurru II,,
Amurru III,,
Amušu I,,
An I,,
An-Enlilda I,,
Ana-Aššur-taklak I,,
Ana-Nabu-taklak I,,
Ana-iliya-taklak I,,
Ana-tabinišu I,,
Anah I,,
Anaku I,,
Anat I,,
Anat-dalati I,,
Andaranu I,,
Andia I,,
Andiaya I,,
Andiayu I,,
Andullu I,,
Andurunna I,,
Angal I,,
Angir I,,
Anhiliba I,,
Anisu I,,
Annunitu I,,
Anti'uksu I,,
Antibal I,,
Antigonus I,,
Antu I,,
Anu I,"""An(um)"" (the god of heaven) OAkk, Bab. [AN; NB d60]; of Ištar anātima ""you are supreme deity"";",Anūtu I
Anu--xxx I,,
Anu-ab-uter I,,
Anu-ab-uṣur I,,
Anu-ah-iddin I,,
Anu-ah-ittannu I,,
Anu-ah-ušabši I,,
Anu-ahhe-eriba I,,
Anu-ahhe-iddin I,,
Anu-ahhe-iqiša I,,
Anu-ahšu-uballiṭ I,,
Anu-ana-bitišu I,,
Anu-ana-matišu I,,
Anu-balassu-iqbi I,,
Anu-bel-zeri I,,
Anu-belšunu I,,
Anu-dan I,,
Anu-ereš I,,
Anu-eriba I,,
Anu-ikṣur I,,
Anu-iqišanni I,,
Anu-kaṣir I,,
Anu-mannu I,,
Anu-mar-ittannu I,,
Anu-mukin-apli I,,
Anu-mušallim I,,
Anu-nuri I,,
Anu-reʾušunu I,,
Anu-taklak I,,
Anu-uballissu I,,
Anu-uballiṭ I,,
Anu-uṣur I,,
Anu-zer-ibni I,,
Anu-zer-iddin I,,
Anu-zer-lišir I,,
Anu-šum-ibni I,,
Anu-šum-iddin I,,
Anu-šum-lišir I,,
Anu-šumu-ušabši I,,
Anubu I,,
Anunnakkū I,"""(the) gods"" [dA.NUN.NA(.KE4.NE)]  1. OB, M/jB the gods as a whole2. M/NB the gods of the earth and netherworld",Sum. 
Anunnaku I,,
Anunu I,,
Anunītu I,"OAkk, Bab.  1. (a goddess)2. (a constellation, north-east part of Pisces)",
Anzu I,,
Anzû I,"""Anzû; lion-headed eagle"" [ANZU.MUŠEN]; also astr., desig. of star(s);",anzâniš I
Anšan I,,
Anšar I,,
Anšeʾamanigandu I,,
Anūtu I,"""position of An; divinity"" j/NB [d60- ; dAN- ];",Anu I
Apalla I,,
Aparu I,,
Apaya I,,
Apil-Addu I,,
Apinduha I,,
Apkallu I,,
Apku I,,
Apladad-dala I,,
Apladad-hutni I,,
Apladad-idri I,,
Apladad-ilaʾi I,,
Apladad-kabti-ahhe I,,
Apladad-killanni I,,
Apladad-naʾdi I,,
Aplaya I,,
Apli I,,
Aplu-iddina I,,
Aplu-uṣur I,,
Aplu-šezibanni I,,
Aplutu I,,
Appa I,,
Appina I,,
Appuni I,,
Apsu I,,
Aqaba I,,
Aqar-Bel-lumur I,,
Aqar-Nabu I,,
Aqara I,,
Aqdaš-il I,,
Aqru I,,
Arad-Ea I,,
Arad-Ištar I,,
Arad-Nabu I,,
Arad-Reš I,,
Arad-Šamaš I,,
Aradataya I,,
Arahsamna I,(8th Bab. month) j/NB [ITI.APIN(.DU8.A)];,warhu I + samnu I
Arahsamnu I,,
Arahtu I,(major canal in northern Babylonia) j/NB;,urhu I ?
Arakai I,,
Arallu I,,
Aramiš-šar-ilani I,,
Aramu I,,
Aranuna I,,
Arazaya I,,
Arazu I,,
Araši I,,
Arbail I,,
Arbail-šarrat I,,
Arbailayu I,,
Arbaya I,,
Arbayu I,,
Arbaʾil I,,
Arbitehi I,,
Arda I,,
Ardiya I,,
Argada I,,
Argasu I,,
Argisti I,,
Argistiani I,,
Argite I,,
Argunu I,,
Arhi I,,
Ariawate I,,
Ariaza I,,
Aridu I,,
Arihu I,,
Ariri I,,
Aristocrates I,,
Ariye I,,
Arkuzzi I,(a month) Nuzi;,Hurr. 
Armaya I,,
Armaya II,,
Armiraliu I,,
Arna I,,
Arnubu I,,
Arpadda I,,
Arpaddaya I,,
Arrabatu I,,
Arrakdi I,,
Arranu I,,
Arrapha I,,
Arraphaya I,,
Artaxerxes I,,
Aru I,,
Aruas-madi I,,
Aruru I,,
Arzabia I,,
Arzabiaya I,,
Arzaya I,,
Arzezu I,,
Arzi I,,
Arzizaya I,,
Arzizi I,,
Arzuhina I,,
Arzuhinaya I,,
Aršakâ I,,
Asakku I,,
Asalluhi I,,
Asalluhi-ahhe-iddina I,,
Asalluhi-duri I,,
Asalluhi-ereš I,,
Asalluhi-hutni I,,
Asalluhi-mansum I,,
Asalluhi-remanni I,,
Asalluhi-šumu-iddina I,,
Asaralim I,,
Asaralimnuna I,,
Asare I,,
Asarluhi I,,
Asdudaya I,,
Asdudu I,,
Asidu I,,
Asinu I,,
Asqudu I,,
Asrukanu I,,
Assi I,,
Assurbanipal I,,
Assurnaṣirpal I,,
Astar-qumu I,,
Asu I,,
Asukukusiana I,,
Ata I,,
Atah I,,
Atamar-Aššur I,,
Atamar-Issar I,,
Atamar-Marduk I,,
Atanha-ilu I,,
Atanha-Šamaš I,,
Atar-ili I,,
Atar-suri I,,
Atar-yatiʾ I,,
Atinnu I,,
Atiʾ I,,
Atra-hasis I,,
Atta-idri I,,
Atta-qamuʾa I,,
Atta-suri I,,
Attana I,"(7th month) MB(Alal.), Nuzi;",Hurr. 
Attar-ham I,,
Attar-idri I,,
Attar-qamu I,,
Attar-suri I,,
Attar-šumki I,,
Attara I,,
Attaʾani I,,
Atu I,,
Atuehu I,,
Atunnaya I,,
Auianu I,,
Auiraya I,,
Awianu I,,
Awyanu I,,
Awīlatu I,(hypocorist. form of PN Awīl-DN) OB;,awīlu I
Aya I,,
Aya-Milki I,,
Aya-Mitunu I,,
Aya-abu-uṣur I,,
Aya-ahhe I,,
Aya-ahi I,,
Aya-ammu I,,
Aya-barakka I,,
Aya-dadu I,,
Aya-halu I,,
Aya-hari I,,
Aya-kettu-iqbi I,,
Aya-lešir I,,
Aya-mahir I,,
Aya-neri I,,
Aya-nuhši-uṣur I,,
Aya-saggi I,,
Aya-suri I,,
Aya-yababa I,,
Aya-šarru-ibni I,,
Aya-ṭuri I,,
Ayakki-ibni I,,
Ayakku I,,
Ayaru I,,
Ayne I,,
Ayya'ūtu I,"""function of the goddess Ayya"" jB;",Ayya (wife of Šamaš) abstr. 
Ayyabitu I,,
Ayyalu I,,
Ayyaru I,,
Ayyāru I,(2nd Bab. month) Bab. [ITI.GU4(.SI.SÁ)];,ayyārû I
Aza I,,
Azallu I,,
Azari I,,
Azarru I,,
Azi I,,
Azi-il I,,
Azu I,,
Azzanayu I,,
Ašapi I,,
Ašaredu I,,
Ašaru I,,
Ašgandu I,,
Ašipa I,,
Aširu I,,
Aškaʾitu I,,
Ašnan I,,
Ašpa-bara I,,
Ašrat I,,
Aštamašti I,,
Aštapi I,(a month)? Alal.;,Hurr. 
Ašu I,,
Ašuisi I,,
Aššur I,,
Aššur-abu-iddina I,,
Aššur-abu-uṣur I,,
Aššur-ah-iddina I,,
Aššur-ahhe I,,
Aššur-ahhe-uṣur I,,
Aššur-ahhešu-ereš I,,
Aššur-ahu-iddina I,,
Aššur-ahu-iddina II,,
Aššur-ahu-uṣur I,,
Aššur-alik-pani I,,
Aššur-aplu-iddina I,,
Aššur-aplu-uṣur I,,
Aššur-ašared I,,
Aššur-balti-Ekurri I,,
Aššur-balti-niše I,,
Aššur-bani I,,
Aššur-bani-ahhe I,,
Aššur-bani-apli I,,
Aššur-bel-ilani I,,
Aššur-bel-šarrani I,,
Aššur-belu-daʾʾin I,,
Aššur-belu-kaʾʾin I,,
Aššur-belu-taqqin I,,
Aššur-belu-udaʾʾan I,,
Aššur-belu-uṣur I,,
Aššur-bessunu I,,
Aššur-bunaya-uṣur I,,
Aššur-bunaʾi I,,
Aššur-dalal I,,
Aššur-dan I,,
Aššur-daʾʾin-aplu I,,
Aššur-daʾʾin-šarru I,,
Aššur-daʾʾinanni I,,
Aššur-deni-amur I,,
Aššur-deʾiq I,,
Aššur-dur-paniya I,,
Aššur-duru-uṣur I,,
Aššur-ereš I,,
Aššur-etel-ilani-mukinni I,,
Aššur-etel-šame-erṣeti-muballisu I,,
Aššur-eṭir I,,
Aššur-eṭiranni I,,
Aššur-garuʾa-nere I,,
Aššur-gimilli-tere I,,
Aššur-gimillu-tere I,,
Aššur-ibni I,,
Aššur-ibni-ahhe I,,
Aššur-iddin I,,
Aššur-iddina I,,
Aššur-ilaʾi I,,
Aššur-isseʾa I,,
Aššur-kenu-balliṭ I,,
Aššur-kenu-uṣur I,,
Aššur-kettu-iram I,,
Aššur-killanni I,,
Aššur-la-kenu-ubaša I,,
Aššur-leʾani I,,
Aššur-leʾi I,,
Aššur-matu-taqqin I,,
Aššur-mukin-paleya I,,
Aššur-mutakkil-šarri I,,
Aššur-mutaqqin I,,
Aššur-mušallim I,,
Aššur-nadin-ahhe I,,
Aššur-nadin-ahi I,,
Aššur-nadin-šumi I,,
Aššur-natkil I,,
Aššur-naʾdi I,,
Aššur-naṣir I,,
Aššur-nerari I,,
Aššur-neše I,,
Aššur-patinu I,,
Aššur-qassu I,,
Aššur-remanni I,,
Aššur-reši-išši I,,
Aššur-reʾušunu I,,
Aššur-reṣiwa I,,
Aššur-reṣuwa I,,
Aššur-taklak I,,
Aššur-taqqinanni I,,
Aššur-uballiṭ I,,
Aššur-ušallim I,,
Aššur-zeru-ibni I,,
Aššur-zeru-iddina I,,
Aššur-šallim I,,
Aššur-šallim-ahhe I,,
Aššur-šallimšunu I,,
Aššur-šar-ahhe I,,
Aššur-šarrani I,,
Aššur-šarru-ibni I,,
Aššur-šarru-iddina I,,
Aššur-šarru-uṣur I,,
Aššur-šezibanni I,,
Aššur-šimanni I,,
Aššur-šiʾi I,,
Aššur-šulmu-amur I,,
Aššur-šumu-ibni I,,
Aššur-šumu-iddina I,,
Aššur-šumu-kaʾʾin I,,
Aššur-šumu-lešir I,,
Aššur-šumu-uṣur I,,
Aššur-ṣabtanni I,,
Aššuraya I,,
Aššurayu I,,
Aššurnaṣirpal I,,
Aʾilanu I,,
Aṣal-Iau I,,
Aṣe I,,
Aṣušu-namir I,,
BUNIR I,,
Bab-Aššur I,,
Bab-Barsip I,,
Bab-Marrat I,,
Bab-Saggil I,,
Bab-bitqi I,,
Bab-erkalli I,,
Bab-tinurayu I,,
Baba I,,
Babanu I,,
Babaya I,,
Babilaya I,,
Babilayu I,,
Babili I,,
Babilu I,,
Babiri I,,
Babiti I,,
Babu I,,
Babu II,,
Babu-ahhe-iddina I,,
Babu-gamilat I,,
Babutaya I,,
Babutu I,,
Bada I,,
Badaya I,,
Baddudu I,,
Badia I,,
Badtibira I,,
Baga-parna I,,
Bagagi I,,
Bagusu I,,
Bahi I,,
Bahianu I,,
Bahir I,(a month) OAkk;,bahru I st. abs.?
Balasi I,,
Balassu I,,
Balaṭaya I,,
Balaṭi I,,
Balaṭsu I,,
Balaṭu I,,
Balaṭu-ereš I,,
Balaṭu-iqbi I,,
Baldahdah I,,
Balihu I,,
Balti-lešir I,,
Baltil I,,
Balṭayu I,,
Balṭi-Aia I,,
Balṭi-Aya I,,
Balṭi-iqbi I,,
Bamba I,,
Ban-Ammanaya I,,
Banaya I,,
Banba I,,
Bani I,,
Bani-Anu I,,
Bani-ahhe I,,
Bani-ahuʾa I,,
Baniti I,,
Banitu I,,
Banitu-ereš I,,
Banitu-tereš I,,
Banunu I,,
Baqarru I,,
Bar-ahati I,,
Bar-ahu I,,
Bar-napi I,,
Bar-uri I,,
Bar-zaqe I,,
Bar-zikutu I,,
Bar-Ṣaruri I,,
Baramah I,,
Barbarra I,,
Barbaru I,,
Bardi I,,
Barhalza I,,
Barhalzaya I,,
Barhaza I,,
Barik-il I,,
Bariku I,,
Bariritu I,,
Barmu I,,
Barruqu I,,
Barsip I,,
Barsipaya I,,
Barsipitu I,,
Barsipitu II,,
Baruri I,,
Barzaništa I,,
Basali I,,
Basani I,,
Basasu I,,
Basia I,,
Bassi I,,
Bassiya I,,
Bassuʾa I,,
Batiti I,,
Batulu I,,
Batuʾa I,,
Bau I,,
Bauya I,,
Bayaya I,,
Bazi I,,
Baziya I,,
Bazuzu I,,
Baštu I,,
Baššaša I,,
Baʾal-azuri I,,
Baʾal-rakkab I,,
Baʾal-suri I,,
Baʾala-imme I,,
Baʾalti-idri I,,
Baʾalti-yabatu I,,
Baʾassi I,,
Baʾli I,,
Baṭṭuṭanu I,,
Beltu I,,
Beltu-ša-Reš I,,
Beltu-ša-Uruk I,,
Belu-labiru I,,
Belu-lu-balaṭ I,,
Belu-lu-dari I,,
Belu-naṣir I,,
Belu-ukin I,,
Binitu I,,
Birataya I,,
Birate I,,
Birtu I,,
Bit-Abdadani I,,
Bit-Adad I,,
Bit-Adad-ša-zunni I,,
Bit-Adini I,,
Bit-Amukannaya I,,
Bit-Amukanni I,,
Bit-Arrabi I,,
Bit-Aššur I,,
Bit-Barru I,,
Bit-Bunakki I,,
Bit-Dagan I,,
Bit-Dagan II,,
Bit-Dakkuri I,,
Bit-Dakkuri II,,
Bit-Deraya I,,
Bit-Gula I,,
Bit-Hamban I,,
Bit-Haʾir I,,
Bit-Haʾiraya I,,
Bit-Hurapi I,,
Bit-Imbi I,,
Bit-Imbiya I,,
Bit-Ištar I,,
Bit-Kapsi I,,
Bit-Kapsiaya I,,
Bit-Kidmuri I,,
Bit-Kura I,,
Bit-Kuti I,,
Bit-Kuti II,,
Bit-Marduk I,,
Bit-Nabu I,,
Bit-Nergal I,,
Bit-Nikkal I,,
Bit-Ninurta I,,
Bit-Parasi-ili I,,
Bit-Purutaš I,,
Bit-Ramannu I,,
Bit-Sibitti I,,
Bit-Sin I,,
Bit-Sin-ibni I,,
Bit-Tammeš-šamaʾ I,,
Bit-Unqiaya I,,
Bit-Uqata I,,
Bit-Yakin I,,
Bit-Zabidaya I,,
Bit-Zabidi I,,
Bit-Zamani I,,
Bit-Zualza I,,
Bit-abi-ilaya I,,
